question,nresults,snippet,sections,link
"Lp test ",0,".",".","."
"will the virus continue to spread for a long time?",1,"Could the two-week closing of schools and childcare services be prolonged? ...  Should an employee who is 70 years of age continue to work? ... Is it possible to  deliver food or essential items to people in hospitals, residential and long-term  care centres, intermediate resources, ... How is COVID-19 spread?","Could the two-week closing of schools and childcare services be prolonged? / How is COVID-19 spread? / Is it possible to deliver food or essential items to people in hospitals, residential and long-term care centres, intermediate resources, family-type resources for the elderly and vulnerable adults, and private seniors’ homes? / Should an employee who is 70 years of age continue to work?","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/"
"Do the symptoms start suddenly or they progress slowly from one day to another? ",0,".",".","."
"Est ce que vous pensez que la quarantaine obligatoire pour tous aura lieu bientôt?",0,".",".","."
"When should I visit a doctor?",1,"Do not go to a medical clinic unless you have first obtained an appointment. Visit  the emergency room only if you have difficulty breathing ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Peut-on laver les fruits et les légumes avec de l'eau seulement?",0,".",".","."
"Je dois me rendre chaque semaine pour faire effectuer des prélèvements pour un suivi serré de mon état de santé (cardiaque). Est-ce que je dois me rendre comme d'habitude au centre de prélèvement ou il existe de nouvelles consignes?",0,".",".","."
"Auriez-vous une recette de galette portugaise?",0,".",".","."
"What are are my chances of dying if I have the covid 19 virus? ",2,"Special attention must be paid to the elderly, especially individuals 70 years of  age and over, since they are at greater risk of complications. If you ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Où puis-je faire du bénévolat pour aider les personnes en isolement dans le besoin ?",0,".",".","."
"Qui doit se faire tester pour la covid?",1,"Une attention particulière doit être portée aux personnes âgées, particulièrement  celles de 70 ans et plus, puisqu'elles sont davantage à risque ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"Est il utile de porter un masque ?",0,".",".","."
"Est-ce que je peux allaiter mon bébé si j'ai le covid 19? ",0,".",".","."
"Test2",0,".",".","."
"Will suicide rates go up?",0,".",".","."
"J'ai peur d'attraper le virus, que dois-je faire ??? ",0,".",".","."
"Les animaux peuvent-ils transmettre le COVID-19?",3,"Est-ce que les parents qui ne peuvent plus utiliser les services de garde  éducatifs à l'enfance doivent continuer à payer leurs frais de garde?",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Est ce que je peux continuer à aller faire mon sport dehors ? ",0,".",".","."
"Combien de temps le virus reste-t-il sur les surfaces?",0,".",".","."
"What medication is recommended if I contract covid-19?",2,"If you are worried about COVID‑19 or display symptoms such as a cough or ...  Symptoms and treatment · Measures taken by the Government ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"J’ai de la toux grasse et mon nez coule, est-ce que j’ai le coronavirus?",0,".",".","."
"What do I do if I suspect I'm infected?",0,".",".","."
"Est ce que les enfants de moins de 1 an sont plus à risque d'avoir des complications ? ",2,"Est-ce que les parents qui ne peuvent plus utiliser les services de garde  éducatifs à ... Un employé peut-il être congédié s'il refuse d'aller travailler dans  un endroit à risque? ... ne sont pas plus à risque de complications liées à la  COVID-19 que les adultes en général. ... Les enfants sont-ils moins à risque?","Est-ce que les parents qui ne peuvent plus utiliser les services de garde éducatifs à l’enfance doivent continuer à payer leurs frais de garde? / Les enfants sont-ils moins à risque? / Les femmes enceintes sont-elles à risque?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Comment prévenir la transmission du virus ? ",1,"On vous dira comment vous rendre et quelles précautions prendre (port de  masque, utilisation de transport personnel ou d'une ambulance, etc.) ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"What is an Asymptomatic Carrier?",0,".",".","."
"Suite... Est ce que j'aurai droit à une aide quelconque si la situation perdure compte tenu que je n'ai pas d'emploi et que mon prêt scolaire se termine? ",0,".",".","."
"Can drinking alcohol helps COVID19? ",1,"You will be told how to go there and what precautions to take (wearing a mask,  using personal transportation or an ambulance, and so ... How to offer your help  ... Stress, Anxiety and Depression Associated With the COVID-19 ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Combien de gens sont infectés au Québec ?",4,"Au Québec, à ce jour, il y a 181 cas confirmés de COVID‑19, dont 5 personnes  décédées et 1 personne guérie. Régions. Nombre de cas ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/situation-coronavirus-quebec/"
"Je ressens de léger brulement aux bronches, est-ce un symptôme?",0,".",".","."
"Est-ce que les asthmatiques ont plus de risques de complication suite à une infection au covid-19?",0,".",".","."
"I have asthma. How at risk am I about the possibility of complications?",0,".",".","."
"How many cases in Montreal?",1,"... 514-644-4545 in the Montréal area, 450-644-4545 in the Montérégie region,  819-644-4545 in the Outaouais region ... Any other questions?",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Quels sont les traitements ?",3,"Quels sont les services d'enseignement visés par les fermetures? Tous les  services offerts dans le ... Symptômes, traitements et prévention ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Est-ce nécessaire de tout nettoyer les produits d'épicerie rapportés à la maison?",0,".",".","."
"Quand la pandémie va-t-elle se terminer?",0,".",".","."
"Devrait-on cesser la garde partagée?",0,".",".","."
"If I traveled from Vancouver to quebec city, do i need to quaratine ? ",0,".",".","."
"Is it like regular flu?",1,"... a trip and who display cold- or flu-like symptoms are invited to display common  ... A worker's regular position, and the related advantages, are ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/"
"Combien de temps le Coronavirus reste il sur les habits ? ",0,".",".","."
"My boyfriend experienced gastro intestinal symptoms and came from abroad, should he get tested?",0,".",".","."
"In this time of crisis, is it okay to feed the raccoons",0,".",".","."
"what are cov19 symptoms",2,"If you have symptoms such as a cough or fever: Do not go to a medical clinic  unless you have first obtained an appointment. Visit the emergency ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"How long do you expect these restrictive measures to last?",0,".",".","."
"If I experience symptoms but they are manageable, should I still go to the hospital for testing?",0,".",".","."
"Test ",6,"A health emergency is declare throughout Québec's territory to implement  measures to protect the health of the population.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Est ce que la température chaud ou froid peut tuer le virus?",0,".",".","."
"Sais cool merci",0,".",".","."
"Test ",6,"A health emergency is declare throughout Québec's territory to implement  measures to protect the health of the population.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"How do people get infected with Coronavirus?",7,"Special attention must be paid to the elderly, especially individuals 70 years of  age and over, since they are at greater risk of complications.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"J’ai été en contact avec un membre de ma famille qui est revenu de voyage il y a 5 jours, il est asymptomatique, je fais de la fièvre et je tousse depuis hier, dois-je me faire tester?",0,".",".","."
"how many people died so far?",1,"Is it possible to deliver food or essential items to people in hospitals, ... Can an  individual go to a hospital to visit a loved one who is dying? Yes.","Is it possible to deliver food or essential items to people in hospitals, residential and long-term care centres, intermediate resources, family-type resources for the elderly and vulnerable adults, and private seniors’ homes? / Can an individual go to a hospital to visit a loved one who is dying?","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/"
"Combien de gens sont mort du covid-19 au canada?",1,"Une attention particulière doit être portée aux personnes âgées, particulièrement  celles de 70 ans et plus, puisqu'elles sont davantage à risque ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"If you recover from the virus, can you still be a carrier ",1,"If your condition allows you to do so and indicate that you are a traveller who has  been back for less than 14 days. You will be told how to go there ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Bonjour, voici ma situation : je suis maman monoparentale aux études à temps plein ( technique collégiale/dernière session) ma seule source de revenu étant mes prêt et bourses le dernier dépôt de l'AFE sera le 1er mai",0,".",".","."
"What are the symptoms for corona virus?",6,"Coronavirus disease (COVID-19) in Québec ... If you are worried about COVID‑ 19 or display symptoms such as a cough or fever, you can call ...","Related","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Est ce sécuritaire d'aller faire mon épicerie avec mes enfants ? ",0,".",".","."
"Est-ce que je peux continuer à prendre des marches avec des amis ?",0,".",".","."
"How long can the virus live?",3,"For now, the spread of the coronavirus (COVID-19) is under control in Québec ...  Person who doesn't live in Québec, but who was on the territory and has been ...  residential and long-term care centres, intermediate resources, ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/"
"If I contract the virus, does wearing a mask prevent others getting infected?",1,"If you are worried about COVID‑19 or display symptoms such as a cough or fever,  ... You will be told how to go there and what precautions to take (wearing a mask,  using personal transportation or an ambulance, and so on). ... residential and  long-term care centres and other establishments for seniors and ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Doit on lavé les emballages fruits et légumes ramené de l'épicerie avant des les ranger dans nos placards? ",0,".",".","."
"Combien de gens sont infectés dans ma région / dans la région X ?",0,".",".","."
"What is the risk for an asthmatic ?",0,".",".","."
"Should I be worried about getting sick if the government does not lock down everything?",0,".",".","."
"",0,".",".","."
"what are the symptoms?",5,"Physical symptoms. Headaches, neck tension, gastrointestinal problems, etc.  Sleep problems; Lower appetite; Lower energy, fatigue; Etc.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/stress-anxiety-and-depression-associated-with-the-coronavirus-covid-19-disease/"
"How many cases of the coronavirus are there in Montreal?",4,"Any other questions? Click here for answers to the most frequently-asked  questions! Last update: March 18 ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Bonjour",0,".",".","."
"Pourquoi les statistiques du Québec contiennent toujours 22 personnes dans une région Indéterminée et ce jour après jour?",0,".",".","."
"Combien de temps le virus survit sur une surface sèche ? ",0,".",".","."
"Quel est le danger pour un nouveau né?",1,"L'état d'urgence sanitaire a été déclaré sur tout le territoire ... celles de 70 ans et  plus, puisqu'elles sont davantage à risque de décès. ... Soutenez le réseau de la  santé Cet hyperlien s'ouvrira dans une nouvelle fenêtre.",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"How contagious is the virus?",0,".",".","."
"Are there confirmed cases in my neighborhood ",2,"In Québec, there are now 181 confirmed cases of COVID‑19, including 5 death  and 1 recovered person. Regions. Number of confirmed cases, on ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/situation-coronavirus-in-quebec/"
"How long is this expected to last?",0,".",".","."
"Lp test ",0,".",".","."
"Why is there no toilet paper?",0,".",".","."
"Combien de  temps le virus survit sur une surface humide? ",1,"Combien de temps la COVID‑19 survit-elle sur des objets? En général, la COVID ‑19 ne survit pas longtemps sur les objets : 3 heures environ ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"what is covid-19",10,"Coronavirus disease (COVID-19) in Québec. On march 13, 2020, the  Gouvernement du Québec adopted an ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Comment savoir quelle centre de personnes âgées sont affecté?",1,"Une attention particulière doit être portée aux personnes âgées, particulièrement  celles de 70 ans et plus, puisqu'elles sont ... Ne vous présentez pas dans une  clinique médicale sans avoir reçu au préalable un rendez-vous. ... On vous dira  comment vous rendre et quelles précautions prendre (port de ...","Pour les citoyens de retour de voyage","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"What are the symptoms for COVID-19 ?",6,"The current coronavirus (COVID-19) pandemic is a particular and rare situation.  ... Potential symptoms linked to stress, anxiety and depression.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/stress-anxiety-and-depression-associated-with-the-coronavirus-covid-19-disease/"
"A",10,"A health emergency is declare throughout Québec's territory to implement  measures to protect the health of the population.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Est-ce que mon type de sang a un lien avec les risques que j’attrape la maladie?",0,".",".","."
"Est ce que la fièvre est le premier symptômes ou le mal de gorge?",0,".",".","."
"is vomiting one of the symptoms?",0,".",".","."
"A",10,"A health emergency is declare throughout Québec's territory to implement  measures to protect the health of the population.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Comment savoir si je suis infecte?",1,"Comment se transmet la COVID‑19? Habituellement, la ... Si je suis à l'étranger,  dois-je rentrer immédiatement au pays? Le gouvernement du ...","Comment se transmet la COVID‑19?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"What's the difference between COVID-19 and CoronaVirus?",10,"The current coronavirus (COVID-19) pandemic is a particular and ... Stress  comes and goes on its own, depending of what factors are involved.","What does stress mean? / A variety of reactions are possible in the context of a coronavirus (COVID-19) pandemic","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/stress-anxiety-and-depression-associated-with-the-coronavirus-covid-19-disease/"
"Quel est le délai avant l'apparition des 1er symptômes",0,".",".","."
"What is COVID-19",10,"Coronavirus disease (COVID-19) in Québec. On march 13, 2020, the  Gouvernement du Québec adopted an ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"symptoms",6,"If you have symptoms such as a cough or fever: Do not go to a medical clinic  unless you have first obtained an appointment. Visit the emergency ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Comment on fait pour se protéger?",3,"Foire aux questions à propos de la coronavirus (COVID-19) au Québec et des  mesures ... Mon employeur doit-il prendre des mesures particulières pour  protéger la santé des travailleurs ? ... Comment se transmet la COVID‑19? ... Si  une personne doit se rendre dans un rassemblement qui fait partie des ...","Mon employeur doit-il prendre des mesures particulières pour protéger la santé des travailleurs ?  / Comment se transmet la COVID‑19?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"is fever a symptom of coronavirus? ",4,"If you have symptoms such as a cough or fever: Do not go to a medical clinic  unless you have first obtained an appointment. Visit the emergency ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Puis-je sortir dehors?",0,".",".","."
"pourquoi les salons de coiffure sont pas fermés?",0,".",".","."
"Medicen corona virus",1,"L'état d'urgence sanitaire a été déclaré sur tout le territoire québécois pour mettre  en place des mesures visant à assurer la protection de la ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"Allo",0,".",".","."
"how many people have died in the US?",2,"If your condition allows you to do so and indicate that you are a traveller who has  been back for less than 14 days. You will be told how to go there ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Mon mari revient de voyage et vit avec moi. Que dois-je faire?",0,".",".","."
"Quand est-ce qu'il faut consulter ?",1,"Si vous êtes un voyageur de retour depuis moins de 14 jours, précisez-le. On  vous dira comment vous rendre et quelles précautions prendre ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"est-ce qu'il y une façon d'aider?",3,"Si vous utilisez un mouchoir en papier, jetez-le dès que possible et ... Pour vous  aider à minimiser les répercussions de telles réactions dans ... Il est demandé à  toute personne d'éviter de se déplacer d'une région à ... Si vous n'avez pas de  toux ou de fièvre, il n'y a aucune mesure particulière à prendre.","Symptômes et traitement / Consignes sanitaires pour tous / Différentes réactions possibles en contexte de pandémie relié au coronavirus (COVID-19)","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/consignes-directives-contexte-covid-19/"
"Est ce que je peux sortir faire du jogging lors de la période d’isolation volontaire? ",0,".",".","."
"Dans combien de temps aura-t-on un vaccin?",1,"Une directive générale sera-t-elle émise concernant le télétravail pour les ...  Combien de temps la COVID‑19 survit-elle sur des objets?","Combien de temps la COVID‑19 survit-elle sur des objets? / Une directive générale sera-t-elle émise concernant le télétravail pour les fonctionnaires?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Quel est le % de la population touchée par chaque pays dans le monde?",0,".",".","."
"Est-ce qu’il existe un remède contre la maladie?",1,"Est-ce que le personnel des CPE et garderies subventionnées continuera d'être  payé? Oui. ... Est-ce que j'ai droit à des congés de maladie? Oui. ... Les  scientifiques mentionnent qu'il n'y a aucun risque connu de malformation ou de  transmission mère-fœtus. ... Existe-t-il un traitement contre la COVID‑19?","Existe-t-il un traitement contre la COVID‑19? /  Est-ce que j'ai droit à des congés de maladie?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"What are the symptoms ",5,"Physical symptoms. Headaches, neck tension, gastrointestinal problems, etc.  Sleep problems; Lower appetite; Lower energy, fatigue; Etc.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/stress-anxiety-and-depression-associated-with-the-coronavirus-covid-19-disease/"
"Is it useful to wear a mask if we are not sick?",1,"If you are worried about COVID‑19 or display symptoms such as a cough or ... Do  not go to a medical clinic unless you have first obtained an ... You will be told how  to go there and what precautions to take (wearing a mask, ...","For citizens returning from travelling","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Le temps d'incubation est 14 ou 20 jours?",0,".",".","."
"Les enfants sont-ils plus à risque?",3,"Est-ce que les parents qui ne peuvent plus utiliser les services de garde  éducatifs à l'enfance doivent ... Les enfants sont-ils moins à risque?","Les enfants sont-ils moins à risque?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Je n'ai pas de symptômes du Covd, mais je suis prof donc cotôyer des gens qui ont voyagé à la relâche. Dois-je vraiment rester 14 jours chez moi ou je peux me permettre d'aller à l'épicerie en prenant quand même mes précautions?",0,".",".","."
"How can BlueRidge.ai help fight this virus?",0,".",".","."
"How many cases in Quebec ",5,"A health emergency is declare throughout Québec's territory to implement  measures to protect the health of the population. ... On march 13, 2020, the  Gouvernement du Québec adopted an Order in ... Any other questions?",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Quelle est la période d'incubation ?",0,".",".","."
"What should I do if I start coughing?",1,"If you are worried about COVID‑19 or display symptoms such as a cough or fever,  you can call 418-644-4545 in the Québec City region, 514-644-4545 ... Support  the health network This hyperlink will open in a new window.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Who is at risk?",4,"Can an employee be dismissed for refusing to work in an at-risk location? In the  case of a refusal to work, the CNESST inspector will quickly ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/"
"Est-ce que je peux transmettre le covid 19 si je l'ai déjà eu? ",1,"Foire aux questions à propos de la coronavirus (COVID-19) au Québec et des ...  Est-ce que j'ai droit à des congés de maladie? ... Un employé peut-il être  congédié s'il refuse d'aller travailler dans un endroit à risque? ... Si je dois me  placer en isolement volontaire, quelles sont les consignes à respecter?"," Est-ce que j'ai droit à des congés de maladie? / Si je dois me placer en isolement volontaire, quelles sont les consignes à respecter?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"je tousse est ce que jai le corona virus",2,"Foire aux questions à propos de la coronavirus (COVID-19) au Québec et des  mesures ... Est-ce que j'ai droit à des congés de maladie? ... un contact étroit  avec une personne infectée lorsque cette personne tousse ou éternue;; un  contact des ... Dois-je m'inquiéter de la situation entourant la COVID‑19?"," Est-ce que j'ai droit à des congés de maladie?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Est ce que au delà de 14 d'isolement il n'y a plus de risque de contagion ?",1,"Foire aux questions à propos de la coronavirus (COVID-19) au ... Est-ce que les  parents qui ne peuvent plus utiliser les services de garde ... Un employé peut-il  être congédié s'il refuse d'aller travailler dans un endroit à risque? ... Je travaille  dans le secteur privé et je dois me placer en isolement volontaire.","Est-ce que les parents qui ne peuvent plus utiliser les services de garde éducatifs à l’enfance doivent continuer à payer leurs frais de garde? / Je travaille dans le secteur privé et je dois me placer en isolement volontaire. Est-ce que mon employeur peut me congédier?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"where can I get tested",1,"A health emergency is declare throughout Québec's territory to implement  measures to protect the health of the population.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"what is pandemic",4,"The current coronavirus (COVID-19) pandemic is a particular and rare situation. It  can affect people physically, but also psychologically. In this ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/stress-anxiety-and-depression-associated-with-the-coronavirus-covid-19-disease/"
"j'ai des symptomes je fais quoi",0,".",".","."
"Comment magasiner en tempa de pandémie ?",2,"Comment se transmet la COVID‑19? Habituellement, la COVID‑19 ... Combien  de temps la COVID‑19 survit-elle sur des objets? En général, la ...","Comment se transmet la COVID‑19?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"I do not have fever",3,"If you do not have a cough or fever, no other specific measure needs to be  adopted. Wash your hands frequently and avoid sharing personal ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/instructions-directives/"
"Le virus est-il aussi virulent dans les pays proche de l'équateur ? ",0,".",".","."
"What can you do?",5,"This page should be seen as a tool that can help you to minimize the ... as  refusing a task that is non-essential or that you do not want to do.","Take care of yourself","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/stress-anxiety-and-depression-associated-with-the-coronavirus-covid-19-disease/"
"Est-ce qu'il vaut mieux éviter de prendre une marche quand il y a beaucoup de monde dehors?",0,".",".","."
"I am coughing but I don't have fever. Could I have covid-19?",1,"If you have symptoms such as a cough or fever: Do ... If your condition allows you  to do so and indicate that you are a ... COVID-19 in Québec.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Comment peut-on contracter le covid19?",1,"Ne vous présentez pas dans une clinique médicale sans avoir reçu au ... On  vous dira comment vous rendre et quelles précautions prendre ...","Pour les citoyens de retour de voyage","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"Quels sont les types de traitement en expérimentation qui pourraient permettre de réduire l’inflammation causée par la COVID-19?",0,".",".","."
"Origine du virus",1,"L'état d'urgence sanitaire a été déclaré sur tout le territoire québécois pour mettre  en place des mesures visant à assurer la protection de la ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"Il y a combien de cas dans la région de la Mauricie",0,".",".","."
"Quelles personnes sont plus à risque contre le covid-19?",2,"Foire aux questions à propos de la coronavirus (COVID-19) au ... Quels sont les  services d'enseignement visés par les fermetures? ... Est-ce que les personnes  de 70 ans et plus peuvent sortir à ... Les enfants sont-ils moins à risque? ... le port  d'un masque est efficace pour me protéger contre la COVID‑19?","Les enfants sont-ils moins à risque? / Est-ce que les personnes de 70 ans et plus peuvent sortir à l’extérieur de leur domicile, notamment pour se rendre à leurs rendez-vous médicaux?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Mon chat reste libre de ces mouvements, peut-il ramener le virus à la maison ? ",0,".",".","."
"Quel est le % de la population touchée par chaque province au Québec?",0,".",".","."
"Can I get the virus from breathing infected airborn particules",0,".",".","."
"Est-ce que s'assoir sur le siège d'une toilette publique est dangereux?",0,".",".","."
"Est-ce que l’écoulement nasal est un symptôme?",0,".",".","."
"Que doit-on faire si notre enfant a le nez qui coule",0,".",".","."
"is it dangerous to travel",1,"A health emergency is declare throughout Québec's territory to implement  measures to protect the health of the population.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Pourquoi est-ce que le Covid-19 est aussi contagieux?",1,"Foire aux questions à propos de la coronavirus (COVID-19) au Québec et ... Est- ce que le personnel des CPE et garderies subventionnées continuera d'être  payé? ... Pourquoi fermer les écoles et les garderies à ce moment-ci? ... Il peut  aussi adopter une pratique de travail favorisant la distance sociale ...","Pourquoi fermer les écoles et les garderies à ce moment-ci? N’est-ce pas prématuré?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Combien de fois par jour dois-je me laver les mains ?",0,".",".","."
"Quels sont les délais avant que j'aie mes résultats ?",0,".",".","."
"What is",6,"What does anxiety mean? Contrary to fear, which is a response to a well-defined  and very real threat, anxiety is a response to a vague or ...",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/stress-anxiety-and-depression-associated-with-the-coronavirus-covid-19-disease/"
"test",6,"A health emergency is declare throughout Québec's territory to implement  measures to protect the health of the population.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Si nous avons le covid-19, combien de temps sommes-nous contagieux?",1,"Si vous êtes un voyageur de retour depuis moins de 14 jours, précisez-le. On  vous dira comment vous rendre et quelles précautions prendre ( ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/"
"Durée de la pandémie",2,"Combien de temps la COVID‑19 survit-elle sur des objets? En général, la COVID ‑19 ne survit pas longtemps sur les objets : 3 heures environ ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Si je suis infirmière et enrhumée, dois-je me placer en confiminement",0,".",".","."
"Pourquoi je dois m'isoler?",0,".",".","."
"Le port du masque est requis pour tous ? ",1,"Consignes sanitaires et directives pour tous, pour les citoyens de retour de ...  prendre (port de masque, utilisation de transport personnel ou d'une ambulance,  etc.). ... requis dans un milieu de travail qui n'est pas visé par une ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/consignes-directives-contexte-covid-19/"
"how is going",2,"... cold- or flu-like symptoms are invited to display common sense and evaluate  the relevance of going to work in light of their health status.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/answers-questions-coronavirus-covid19/"
"Comment nettoyer les surfaces poreuses comme les sacs à main, sacs à dos, sacs d'épicerie réutilisables?",0,".",".","."
"Will Covid19 mutate to a different more virulent strain",0,".",".","."
"Combien de temps est ce que le virus reste actif sur les surface lisse? ",0,".",".","."
"J'ai mal à la gorge sans aucun autre symptômes. Dois-je m'inquiéter?",0,".",".","."
"A",10,"A health emergency is declare throughout Québec's territory to implement  measures to protect the health of the population.",".","https://www.quebec.ca/en/health/health-issues/a-z/2019-coronavirus/"
"Puis je avoir la Covid 19 une 2 fois?",1,"Foire aux questions à propos de la coronavirus (COVID-19) au Québec et des ...  Est-ce que les parents qui vont devoir prendre deux semaines de congé en  raison de ... Dois-je m'inquiéter de la situation entourant la COVID‑19? ... Est-ce  la première fois que le Québec déclare un état d'urgence sanitaire?","Est-ce que les parents qui vont devoir prendre deux semaines de congé en raison de la fermeture des écoles et des services de garde vont continuer d’être payés?","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Où puis-je me faire tester ?",0,".",".","."
"How long does the virus stay airborne?",0,".",".","."
"Le virus peut-il muter? Si oui, quelles sont les conséquences de la mutation ?",0,".",".","."
"Durée du confinement",2,"... s'y rapportent sont protégés par la loi pendant la durée de son absence. ... Le  confinement est l'une des mesures qui permettra de réduire la ...",".","https://www.quebec.ca/sante/problemes-de-sante/a-z/coronavirus-2019/reponses-questions-coronavirus-covid19/"
"Est ce que l’assurance maladie sera valide à l’extérieur de la province?",0,".",".","."
"Puis-aller souper chez des amis?",0,".",".","."
"systomps",0,".",".","."
